doi,title,abstract,year,doc_type,journal,source,pc_text_source,pc_classified_by,pc_field,pc_rationale
10.1002/ecs2.70558,The effects of scientific uncertainty and values trade-offs on flow management decisions for an endangered fish,"Consumptive use of freshwater is of concern in many estuarine ecosystems, and various frameworks have been used to prescribe environmental flows to benefit native species. However, few of these frameworks explicitly examine the potential trade-offs between socioeconomic and conservation-oriented values. This is exemplified in California, USA, where freshwater management has been an area of focus and controversy. Operations of numerous reservoirs and water diversion facilities distributed throughout the state, while critical for economic and public health benefits, have contributed to the decline of many native species. The endangered delta smelt (Hypomesus transpacificus) is endemic to the Sacramento-San Joaquin Delta, the heart of California's complex water conveyance system. To aid recovery of delta smelt, fall-timed freshwater pulse flows were implemented, which require water to be either released from reservoirs, or made unavailable to export for consumptive uses. Previous research has indicated that the effectiveness of the current pulse flow action could be improved by reconsidering the timing and magnitude; however, uncertainties in the predicted fish response to flow pulses may hinder decision-making about flow management. Using a water resource planning model, different iterations of an individual-based life cycle model, and decision analysis tools, we assessed the importance of sources of uncertainty to hypothetical flow management decisions, including uncertainty surrounding the predicted responses in delta smelt population growth rates, and variability of decision-maker's values. We found both the choice of which (if any) flow action to take for delta smelt, and the expected value of further research, depended on how decision-makers weight the delta smelt and water supply objectives. There was expected value of information (VOI) only if a decision-maker weighted the delta smelt objective ≥0.59, and within this range, research to improve estimates of changes in delta smelt prey items related to flow actions could be prioritized over other sources of uncertainty to improve outcomes of decision-making. Our study demonstrates how uncertainty, even if large, may not be equally relevant to different decision-makers (e.g., with different agency missions), and how VOI analysis can be used to guide management in an overallocated water system such as California.",2026,Article,Ecosphere,scopus,title+abstract,llm-full,Social Science,"The paper's primary research question examines how scientific uncertainty and decision-maker values affect flow management decisions for delta smelt. It uses decision analysis tools, value of information (VOI) analysis, and water resource planning models to assess trade-offs between socioeconomic and conservation values. The study explicitly focuses on how different decision-makers weight objectives differently based on their agency missions and how this affects management choices. Key signals include 'values trade-offs,' 'decision analysis,' 'variability of decision-maker's values,' and analysis of how uncertainty matters differently to decision-makers with different value weightings. While it uses an individual-based life cycle model, the model is a tool to inform the primary research question about human decision-making under uncertainty and competing values."
10.1080/10454438.2025.2516514,Ramshorn Snail (Helisoma anceps) shows a preference for consuming non-viable fish eggs over the live ones,"Delta Smelt (Hypomesus transpacificus) is protected species in California, USA, and is cultured for conservation purposes at the Fish Conservation and Culture Laboratory, University of California-Davis. Traditional methods for manual removal of dead eggs during incubation are labor-intensive. This study evaluated whether Ramshorn Snail (Helisoma anceps) preferentially consumes dead Delta Smelt eggs over live ones. In a controlled 4-day trial, snails consumed nearly all dead eggs within the first 48 hours, while live eggs were consumed slowly and steadily afterward. Scanning electron microscopy revealed decomposed surfaces with fungal colonization on dead eggs. These results demonstrate a clear preference for dead eggs and suggest the potential application of Ramshorn Snail as a biological tool for dead egg removal in hatchery operations.",2026,Article,Journal of Applied Aquaculture,scopus,title+abstract,llm-full,Culture and Reintroduction,"This study evaluates Ramshorn Snail as a biological tool for removing dead delta smelt eggs during hatchery incubation. The research is conducted at the Fish Conservation and Culture Laboratory and focuses on improving cultured delta smelt egg management practices. Key signals include 'cultured for conservation purposes,' 'Fish Conservation and Culture Laboratory,' 'hatchery operations,' and methods for managing cultured delta smelt eggs. The primary objective is to develop best practices for raising delta smelt in captivity."
10.1093/naaqua/vraf017,"Injury and mortality assessment of pumping on a small, sensitive fish species","Objective: We conducted a pilot study in which we opportunistically evaluated the use of a propeller fish pump as an alternative to hand-netting for loading endangered Delta Smelt Hypomesus transpacificus from tanks into water trucks. Methods: Cultured Delta Smelt were netted from source tanks into experimental tanks and maintained for 72 h. The same fish were then pumped (Pescamotion 6 Plus) into different experimental tanks and maintained for an additional 72 h. Mortalities were assessed daily, and injuries were assessed prior to experimentation, 24 h after netting, and 24 h after pumping. Results: Pumping did not differ from netting in terms of mortality rate. However, pumping resulted in more injuries, a higher probability of being injured, and a higher severity of injury compared to netting and baseline (pre-experiment) conditions. Conclusions: Fish pumps may be useful for loading small, sensitive fish species such as Delta Smelt, although steps should be taken to mitigate potential injury.",2025,Article,North American Journal of Aquaculture,scopus,title+abstract,llm-full,Culture and Reintroduction,"The study evaluates fish pump technology as an alternative to hand-netting for loading cultured delta smelt from tanks into water trucks. This is clearly focused on hatchery operations and handling methods for captive-reared delta smelt. Key signals include 'cultured Delta Smelt,' evaluation of methods for transporting hatchery fish, and assessment of handling techniques in the context of captive population management. The primary objective is to improve handling practices for cultured delta smelt."
10.1057/s41290-024-00212-0,"How to divide people with things: division entrepreneurs, wedges, and the Delta Smelt controversy","Drawing on a multi-method analysis of the controversy surrounding the Delta Smelt, an endangered fish emblematic of California’s so-called “water wars,” this article develops the concepts of division entrepreneurs as strategic actors who articulate partisan selves in relation to partisan others, and wedges as divisive cultural objects. Despite the appearance of a conflict about the distribution of water, the dynamics of the Delta Smelt controversy cannot be explained hydrologically. Instead, conservative division entrepreneurs opportunistically imbued the species with partisan significance, thus mobilizing it as a wedge. The Delta Smelt’s particular qualities, including its status as an uncharismatic microfauna, afforded divisive action. Forging new connections among literatures on the construction of social problems, political polarization, and pragmatist cultural sociology, this article proposes a framework for understanding how strategic actors use objects to shape political senses of “us” and “them.”",2025,Article,American Journal of Cultural Sociology,scopus,title+abstract,llm-full,Social Science,"This paper analyzes the Delta Smelt controversy through a sociological and political lens, examining how strategic actors used the species as a 'wedge' issue to create political division. The study focuses on partisan mobilization, political polarization, and the construction of social problems around delta smelt. Key signals include 'division entrepreneurs,' 'partisan selves,' 'water wars,' political polarization, and cultural sociology. The primary research question concerns how strategic political actors shape 'us vs. them' identities using the delta smelt as a divisive cultural object, not biological aspects of the species."
10.1093/najfmt/vqaf004,Conserving genetic and morphological potential: Preserving larval fish for downstream analysis,"Objective: Current methods for larval fish preservation impede molecular analyses and hinder our ability to modernize monitoring programs using the latest molecular technologies. We tested seven candidate preservatives (10% buffered formalin, 10% hydantoin, 50% ethanol, 70% ethanol, 70% DESS [a solution containing dimethyl sulfoxide, disodium EDTA, and saturated NaCl], 70% Excell Plus, and 70% DNA Shield) for their ability to preserve Delta Smelt Hypomesus transpacificus larval morphology while also allowing subsequent molecular analyses. Methods: We evaluated larval morphology at 1, 3, 7, 28, and 168 d postpreservation (DPP) for each preservative type by taking total length measurements and assigning a qualitative rank of degradation. For the molecular evaluation, we extracted DNA from larvae stored in each of the candidate preservatives at 1, 7, and 168 DPP and performed quantitative PCR (qPCR) and SHERLOCK (Specific High-sensitivity Enzymatic Reporter unLOCKing) assays for species identification targeting the mitochondrial cytochrome b gene. We also evaluated the utility of an ethanol-based environmental DNA screening tool for detecting larvae via DNA extraction from the ethanol preservative. Additionally, we performed single-nucleotide polymorphism genotyping of larvae stored in 10% buffered formalin to determine parentage. Results: Ethanol performed similarly to 10% buffered formalin for the morphological evaluations, maintaining larval total length measurements and morphological features at 168 DPP. For the molecular evaluations, we were able to identify species via qPCR and SHERLOCK at 168 DPP for larvae stored in all candidate preservatives except ExCell Plus. Additionally, we detected the presence of environmental DNA from a single Delta Smelt larva stored in a 940-mL sample jar filled with 50% ethanol. Lastly, at 168 DPP we were not able to assign larvae preserved in 10% buffered formalin to a parental cross. Conclusions: The findings of this research will aid the integration of molecular technologies into traditional fish monitoring efforts, increasing accuracy in species identification and supporting better management of fish.",2025,Article,North American Journal of Fisheries Management,scopus,title+abstract,llm-full,Monitoring Tools,"The primary objective is to develop and test preservation methods that maintain both morphological features and molecular integrity for downstream analyses including qPCR, SHERLOCK assays, eDNA detection, and SNP genotyping. The study evaluates seven candidate preservatives and validates their performance for both traditional morphological identification and modern molecular technologies. Key signals include 'modernize monitoring programs,' testing of molecular assays (qPCR, SHERLOCK), eDNA screening tool development, and method validation. The paper's central contribution is the preservation methodology itself, which enables integration of molecular technologies into fish monitoring."
10.1016/j.scitotenv.2024.178123,Influence of an impacted estuary on the reproduction of an endangered endemic fish,"Health and nutrition of individuals are tied to reproductive success, which determines population viability. Environmental variability and anthropogenic effects can affect the health and nutrition of a species leading to reproductive repercussions which can hinder recovery of endangered populations. Indices of health and nutrition were examined for an imperiled species, delta smelt, Hypomesus transpacificus, in relation to their reproductive status to evaluate the effects of hydrologic conditions in the San Francisco Estuary and Sacramento-San Joaquin Delta. Adult delta smelt were collected by the Fall Midwater Trawl and Spring Kodiak Trawl during monthly monitoring surveys run by the California Department of Fish and Wildlife from 2011 to 2018 spanning from the head of the Carquinez strait to the Sacramento Deep Water Ship Channel. The hydrologic conditions during this period ranged from high precipitation (2011 and 2017) to drought (2012–2016). Drought, via indirect effects from contaminant concentrations and food availability, is hypothesized to influence the health and reproductive success of delta smelt. Each individual was examined for size (length, weight, and condition factor), health (gill and liver pathology/indices), nutritional (RNA/DNA and liver glycogen depletion estimated histologically), and reproductive indicators (gonadosomatic indices [GSI], oocyte developmental stage, clutch size, oocyte size, and oocyte weight). Fork length and condition factor both had strong, positive correlations with reproduction. Glycogen depletion was correlated with higher oocyte mass, oocyte area and GSI, indicating females low in liver glycogen had higher reproductive metrics. Gill and liver lesion severity, which often increases with contaminant exposure, were negatively associated with oocyte area and GSI. Delta smelt in Suisun Marsh and Cache Slough had the longest fork length and highest condition factor measures. Delta smelt in Cache Slough had the highest reproductive metrics and proportion of post-spawned females and late-stage oocytes. Drought did not appear to influence reproduction but reduced population size.",2025,Article,Science of the Total Environment,scopus,title+abstract,llm-full,General Biology,"This study examines the basic reproductive biology of delta smelt in relation to health and nutritional indices across different environmental conditions and locations. The primary research question concerns how size, health, nutrition, and environmental conditions affect reproductive success (GSI, oocyte development, clutch size). Key signals include 'reproduction,' 'health and nutrition,' 'reproductive status,' 'oocyte developmental stage,' 'reproductive success,' and examination of fundamental life history traits. While the study occurs in an impacted estuary and mentions drought, the focus is on describing biological relationships between condition and reproduction, not on management actions or life cycle modeling."
10.3389/fevo.2025.1411994,Identifying the environmental conditions that determine the distribution of an endangered estuarine fish to manage risk of entrainment,"Allocation of scarce water resources to meet beneficial but competing end uses has become commonplace in drought-stricken western North America. In the Sacramento-San Joaquin Delta in California, regulatory agencies endeavor to protect the endemic and imperiled delta smelt from entrainment at water-project pumps, while meeting critical water deliveries to agriculture and urban users. The current water management strategy is not effective at or efficient in meeting those dual goals. To improve current management practices, we develop a risk-based strategy that protects delta smelt from population-level impacts from water-project pumping, while enhancing essential water deliveries to consumers. We identify and quantify the environmental factors associated with the presence of delta smelt in the vicinity of water-project pumps. Essential in this process is the identification of “precedent” factor conditions that contribute to determining the distribution of delta smelt. When delta smelt are likely not near the pumps in the south Delta, the risk of entrainment is low, allowing for water deliveries to be increased with de minimis losses of delta smelt. We present predictive management-guidance models that identify the environmental-factor conditions influencing rates of take for three delta smelt life stages. In a simulation for a 22-year period of water-project operations, the implementation of a risk-based strategy keeps losses of delta smelt under specified limits in all years, while increasing water deliveries by an average of more than 250,000 acre-feet (306,000 ML) per year. The models allow resource managers to identify in real time the ecological circumstances that signal impending heightened risks to delta smelt, thereby triggering appropriate conservation responses.",2025,Article,Frontiers in Ecology and Evolution,scopus,title+abstract,llm-full,Entrainment,"The primary objective is to identify environmental conditions that determine delta smelt distribution near water-project pumps to manage entrainment risk and develop predictive models for rates of take. The study explicitly focuses on protecting delta smelt from entrainment at water-project pumps while optimizing water deliveries. Key signals include 'entrainment,' 'water-project pumps,' 'rates of take,' 'losses of delta smelt,' 'south Delta,' and risk of entrainment. The management-guidance models are designed to predict when delta smelt are near pumps to adjust operations accordingly. While water deliveries are discussed, the primary research question concerns entrainment risk and loss."
10.15447/sfews.2025v23iss4art5,The Influence of Zooplankton Availability on Delta Smelt Condition and Foraging Across Habitat Contexts,"Strategies for endangered species conservation may have different outcomes depending on the habitat context in which they are implemented. Understanding these context-dependent effects can help optimize and target management efforts. In this analysis, we investigate how environmental and food-web conditions interactively affect condition and foraging of Delta Smelt (Hypomesus transpacificus), an endangered fish endemic to the San Francisco Estuary (the estuary). Food limitation, in terms of pelagic zooplankton availability, is considered a main factor that contributes to the decline in Delta Smelt abundance. Our overarching objective was to examine whether the effect of zooplankton on Delta Smelt depended on habitat context. Specifically, we hypothesized that zooplankton would less positively affect Delta Smelt condition—as measured by hepatosomatic index (HSI)—and foraging success in areas with nearby tidal wetlands, because these adjacent habitats may provide access to prey items from the epibenthos and fringing vegetation. In contrast, in regions with limited proximity to wetlands, we hypothesized that Delta Smelt would rely more on pelagic prey, which would manifest as a more positive effect of zooplankton on body condition and foraging success for Delta Smelt. Using models that accounted for habitat in multiple ways, we found little evidence that zooplankton and habitat interactively influenced Delta Smelt condition or gut fullness. Rather, the influence of zooplankton on HSI and gut fullness was generally positive across habitat contexts. Given the well-documented food limitation in the estuary, promoting the availability of pelagic zooplankton is a rational, albeit complex, management aim. Furthermore, our results suggest that efforts to increase zooplankton would broadly benefit Delta Smelt across a wide range of habitat contexts.",2025,Article,San Francisco Estuary and Watershed Science,scopus,title+abstract,llm-full,General Biology,"The primary research question examines how zooplankton availability affects delta smelt condition (HSI) and foraging success across different habitat contexts. The study focuses on fundamental ecological relationships between food availability, body condition, and feeding behavior. Key signals include 'condition,' 'foraging,' 'hepatosomatic index,' 'gut fullness,' 'food limitation,' and 'feeding ecology.' While the study considers habitat context and has management implications, the core objective is understanding the biological relationship between prey availability and fish condition/foraging, making this a General Biology study rather than a habitat management study."
10.3133/ofr20251055,Rapid Structured Decision Making for Hypomesus Transpacificus (Delta Smelt) Summer–Fall Freshwater Outflow Management,"Managers of the Central Valley Project (CVP) and State Water Projects (SWP) in California are confronted with difficult tradeoffs between water uses and associated values affected by water management decisions. These decisions involve altering the timing and magnitude of water releases from dams and reservoirs, which can affect habitats for economically important and Federally and State-listed endangered fish species, water deliveries for agriculture or municipalities, and water quality. In this report, we describe the results of a rapid structured decision-making process used to assist management agencies in evaluating tradeoffs while gathering input from cooperating agencies, rightsholders, or interested parties (hereafter participants) through facilitated workshops in spring 2025. Consideration of alternative water management actions was initiated by the continued decline of Hypomesus transpacificus (delta smelt) populations and the issuance of a new biological opinion for the CVP and SWP long-term operations on the effects on delta smelt and other Endangered Species Act-listed species in November 2024. An Executive Order was also issued in January 2025, directing the Bureau of Reclamation to maximize water deliveries. Participants, led by the U.S. Geological Survey and cooperating agencies, identified 8 fundamental values (hereafter objectives) and 11 alternative water management scenarios (or “alternative management actions” based on the PrOACT model). Using multicriteria decision analysis, we evaluated performance (or “consequences” based on a consequence table analysis) and analyzed tradeoffs of alternative water management actions to the fundamental objectives. We ranked the alternative water management actions based on four participants’ objective weights and composite utility scores calculated using a linear value function. The three highest ranking alternative water management actions had the poorest performance for delta smelt but performed best for CVP and SWP water exports and objectives related to coldwater pool operations for salmonids. An optimum strategy that could prevent the extinction of delta smelt was not determined for this study. However, insights gained from our rapid decision analysis suggested nonflow scenarios could benefit the delta smelt population, including in drier years, and could be considered to avoid curtailment of water exports.",2025,Article,US Geological Survey Open File Report,scopus,title+abstract,llm-full,Social Science,"This paper describes a rapid structured decision-making process to evaluate tradeoffs between competing water uses and values, gathering input from multiple agencies and stakeholders. The primary focus is on the decision-making process itself, including multicriteria decision analysis, objective weighting by different participants, consequence table analysis, and tradeoff evaluation among objectives including water deliveries, endangered species, and water quality. Key signals include 'structured decision making,' 'tradeoffs between water uses,' 'participants' objective weights,' 'decision analysis,' and consideration of different agency values and missions. While biological models inform the analysis, the paper's central contribution is methodological and governance-focused, examining how competing values and stakeholder preferences shape water management decisions."
10.3133/ofr20251040,Environmental Characteristics of Select Managed Ponds in the Sacramento–San Joaquin Delta: Implications for Native Fish Conservation and Research,"The use of wetlands to support native fish research and conservation efforts in the Sacramento–San Joaquin Delta (Delta) of California is a growing priority. The purpose of our study was to examine the physiochemical and biological characteristics of select managed ponds in the Delta to determine if they would be suitable habitats for research involving the conservation of delta smelt (Hypomesus transpacificus). We studied 10 managed ponds distributed across the central part of the Delta situated on Bacon Island and Bouldin Island in San Joaquin County, and Holland Tract and Webb Tract islands in Contra Costa County. The managed ponds had a diversity of physical habitat configurations and were not directly connected to waterways surrounding the islands and, therefore, not affected by tides. We studied the managed ponds from approximately November 2021 to December 2023 to assess water quality, zooplankton, fish, and pesticide metrics. Water levels in the managed ponds were managed to varying degrees and were mostly independent of climate-driven wet-dry seasonality. Water quality conditions varied among ponds and were independent of geographic location. Overall, mean monthly chlorophyll a concentration ranged from 15 to 57 (mean=30) micrograms per liter (µg/L), dissolved oxygen concentration ranged from 4 to 9 (mean=7) milligrams per liter (mg/L), pH was 8, salinity was 1 practical salinity units (PSU), specific conductance ranged from 1,202 to 1,839 (mean=1,471) microsiemens per centimeter (µS/cm), and turbidity ranged from 13 to 24 (mean=19) Formazin Nephelometric Units (FNU). Water temperature thresholds that contribute to stress (21 degrees Celsius [°C]) and mortality (28 °C) of delta smelt were often exceeded during summer and fall, though vertical stratification contributed to lower bottom temperatures in the deepest managed ponds, which could potentially provide thermal refugia for delta smelt so long as dissolved oxygen concentrations are suitable. Zooplankton populations were broadly similar among managed ponds and included calanoid and cyclopoid copepods that would be suitable prey for delta smelt. Overall average total zooplankton biomass, as measured with a Schindler-Patalas trap, was 0.6 µg/L (min=0, max=63.6) and peaked during spring at more than 4 µg/L. Fish populations highly varied among the managed ponds with potential predators of delta smelt such as largemouth bass (Micropterus salmoides) and black crappie (Pomoxis nigromaculatus) present in several of the managed ponds; predator distribution among ponds seemed to have been driven primarily by deliberate stocking to facilitate local fisheries. Measured pesticide concentrations were below U.S. Environmental Protection Agency Aquatic Life Benchmarks except for exceedances of three compounds (diuron [herbicide], clothianidin [insecticide], and deltamethrin [pyrethroid insecticide]) in samples collected from ponds on Bouldin Island and Webb Tract. Overall, most managed ponds seemed suitable to support delta smelt, though physical control of potential predators and summer temperature might be needed. The results provide guidance on how to engineer and manage new managed ponds to support research and conservation efforts for delta smelt and other native fishes.",2025,Article,US Geological Survey Open File Report,scopus,title+abstract,llm-full,Culture and Reintroduction,"The study examines managed ponds in the Delta to determine their suitability for delta smelt research and conservation. The primary objective is to assess whether these managed ponds can support delta smelt for conservation purposes, including potential use for research and reintroduction efforts. Key signals include evaluation of habitat conditions to support delta smelt conservation, assessment of physical control of predators, and guidance on engineering new managed ponds to support research and conservation. While habitat is examined, the central question is about suitability for conservation and research infrastructure, not about natural summer-fall habitat dynamics."
